Make,Model,Year,Type,Range,MSRP,VIN (1-10),Country,City, State, Postal Code,Eligibility,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
AUDI,E-TRON,2021,Battery Electric Vehicle (BEV),222,0,WA1LAAGE7M,Yakima,Yakima,WA,98908,Clean Alternative Fuel Vehicle Eligible,14,144941534,POINT (-120.6027202 46.5965625),PACIFICORP,53077002801
KIA,NIRO,2019,Battery Electric Vehicle (BEV),239,0,KNDCE3LG9K,King,Enumclaw,WA,98022,Clean Alternative Fuel Vehicle Eligible,31,117615928,POINT (-121.98953 47.20347),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031400
NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,0,1N4AZ0CP9F,King,Seattle,WA,98109,Clean Alternative Fuel Vehicle Eligible,43,180279487,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007301
TESLA,MODEL 3,2023,Battery Electric Vehicle (BEV),0,0,5YJ3E1EA4P,King,Bellevue,WA,98006,Eligibility unknown as battery range has not been researched,41,241481278,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024704
NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,0,JN1AZ0CP1B,King,Seattle,WA,98133,Clean Alternative Fuel Vehicle Eligible,32,133592196,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000404
FIAT,500,2016,Battery Electric Vehicle (BEV),84,0,3C3CFFGE4G,King,Auburn,WA,98002,Clean Alternative Fuel Vehicle Eligible,47,225708626,POINT (-122.222855 47.305065),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030600
CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,0,1G1FY6S07L,Yakima,Moxee,WA,98936,Clean Alternative Fuel Vehicle Eligible,15,125943058,POINT (-120.3795117 46.55609),PACIFICORP,53077001702
VOLKSWAGEN,ID.4,2023,Battery Electric Vehicle (BEV),0,0,1V2DNPE83P,King,Seattle,WA,98125,Eligibility unknown as battery range has not been researched,46,245619664,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000900
CHEVROLET,BOLT EV,2022,Battery Electric Vehicle (BEV),0,0,1G1FY6S06N,Yakima,Tieton,WA,98947,Eligibility unknown as battery range has not been researched,14,208932349,POINT (-120.75692 46.70383),PACIFICORP,53077002900
NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,0,1N4AZ0CPXD,Kitsap,Silverdale,WA,98383,Clean Alternative Fuel Vehicle Eligible,23,144485785,POINT (-122.668076 47.665978),PUGET SOUND ENERGY INC,53035091205
